column,dtype,non_null,missing_pct,unique,min,max,mean,std,top_values
age,float64,353224,0.0,1719,0.08,93.0,49.874800122321815,20.036650469180078,
pregnancies,float64,353224,0.0,17,0.0,17.0,0.008360134079224514,0.23818043575633924,
glucose,float64,353224,0.0,234,10.4,2372.0,128.0615767897991,39.24335426063359,
blood_pressure,float64,353224,0.0,183,-150.0,16020.0,121.6485940932666,68.68957747998421,
skin_thickness,float64,353224,0.0,51,0.0,99.0,0.04465155255588522,1.2114310231164982,
insulin,float64,353224,0.0,186,0.0,846.0,0.17350463162186036,6.531056900551955,
bmi,float64,353224,0.0,13033,1.0,298.6666666666667,27.425107436457278,6.960187837596304,
diabetes_pedigree,float64,353224,0.0,518,0.0,2.42,0.0010259806808144405,0.02686003785395012,
hypertension,object,353224,0.0,4,,,,,0:167941; High:125781; Low:49201; 1:10301
heart_disease,int64,353224,0.0,2,0.0,1.0,0.01116005707426449,0.10505018535298045,
hba1c_level,float64,353224,0.0,119,0.9,17.2,5.725582236767608,0.6242338395623029,
blood_glucose_level,float64,353224,0.0,234,10.4,2372.0,128.0615767897991,39.24335426063359,
gender_Female,int64,353224,0.0,2,0.0,1.0,0.5546367177768216,0.49700656775089047,
gender_Male,int64,353224,0.0,2,0.0,1.0,0.44313806536362194,0.4967569013148576,
smoking_history_current,int64,353224,0.0,2,0.0,1.0,0.04375410504382488,0.2045477982937607,
smoking_history_former,int64,353224,0.0,2,0.0,1.0,0.02647611713813331,0.16054658305518432,
smoking_history_never,int64,353224,0.0,2,0.0,1.0,0.09935621588567028,0.2991401203246438,
smoking_history_ever,int64,353224,0.0,2,0.0,1.0,0.0815658052680452,0.27370246027881245,
smoking_history_not current,int64,353224,0.0,2,0.0,1.0,0.01825187416483591,0.133861099590479,
target,int64,353224,0.0,2,0.0,1.0,0.13875897447512062,0.34569532800553837,
